id,rated,turns,victory_status,winner
q6FmC8Id,TRUE,64,resign,black
2CvZyh4h,TRUE,29,resign,white
Psin3ost,TRUE,45,resign,white
AaSSYIy6,TRUE,96,resign,black
0lWtXgXo,TRUE,92,resign,black
IC0EFtA5,TRUE,40,mate,black
L8gPU593,TRUE,123,mate,white
0PVGpBvD,TRUE,129,mate,white
2icRDIZI,TRUE,120,mate,black
ktRhE4Ky,TRUE,71,draw,draw
5AYA7mBv,TRUE,97,mate,white
qGThbTuM,TRUE,60,resign,white
pLR3kRgy,TRUE,57,resign,white
EdKqO9z1,TRUE,38,resign,white
sAjNrfSm,TRUE,111,resign,white
BON8sFeZ,TRUE,119,resign,black
PREaBSqk,TRUE,33,mate,white
CmAh08GF,TRUE,32,resign,white
FpZiajAh,TRUE,96,resign,black
uFREIMDF,TRUE,92,draw,draw
4Wozw7Zh,TRUE,64,resign,black
GIoSZf5k,TRUE,10,resign,black
9r2yzwRq,TRUE,85,resign,white
e4UoYNOg,TRUE,40,resign,black
sn4zdyQb,TRUE,58,resign,black
ppPlxT3Q,TRUE,26,outoftime,black
D0idNTxu,TRUE,4,outoftime,black
yTbYtCF6,TRUE,118,mate,black
AEIBxJhK,TRUE,11,mate,white
mwcADhNn,TRUE,163,outoftime,draw
ygHSZzNE,TRUE,95,mate,white
9MESu3hH,TRUE,37,resign,black
tBXOrjlO,TRUE,101,mate,white
J5DYrnEf,TRUE,80,outoftime,black
o5ZRUXrY,TRUE,78,resign,black
e5CGewyU,TRUE,89,outoftime,draw
fV2cuf3p,TRUE,42,mate,black
baOLL2ej,TRUE,8,outoftime,black
tHHd8ejz,TRUE,101,outoftime,white
E9Es660b,TRUE,65,outoftime,white
0Hl7FLEs,TRUE,60,mate,black
6pOeX4hN,TRUE,71,draw,draw
zALflmF8,TRUE,44,resign,black
F8euV2Zp,TRUE,20,resign,black
VC0euQZC,TRUE,41,resign,white
F0rtsvLh,TRUE,40,resign,black
vI6soB0y,TRUE,27,resign,white
RHqtUgcA,TRUE,59,resign,black
pCdIqYQn,TRUE,19,mate,white
7DyaFpEQ,TRUE,50,mate,black
gDy9stbN,TRUE,34,resign,black
4C9wlcMh,TRUE,15,mate,white
J2JnXESd,TRUE,52,resign,black
fYXWmMQo,TRUE,65,mate,white
0izXEQL0,TRUE,67,resign,white
C7ZN9Vt6,TRUE,31,resign,black
nXAMBzZC,FALSE,130,mate,black
PDmTWzdY,TRUE,125,mate,white
l33LvAGO,TRUE,76,resign,black
VVMmBXVj,TRUE,121,resign,white
J7LsFrHs,FALSE,53,resign,white
nrOeTNGE,TRUE,116,outoftime,black
o8It5NwS,FALSE,47,resign,white
KYR2S7f1,FALSE,53,resign,white
lUfS2I5H,FALSE,76,mate,black
9GK7Wbwa,TRUE,110,draw,draw
RQKVDRu3,TRUE,67,mate,white
